title,matched_title,gutenberg_id,download_url
Jennie Gerhardt,Jennie Gerhardt: A Novel,28988,https://www.gutenberg.org/files/28988/28988-0.txt
Confessions of a Young Man,Confessions of a Young Man,12278,https://www.gutenberg.org/files/12278/12278-0.txt
The Playboy of the Western World,The Playboy of the Western World: A Comedy in Three Acts,1240,https://www.gutenberg.org/files/1240/1240-0.txt
Martin Eden,Martin Eden,1056,https://www.gutenberg.org/files/1056/1056-0.txt
The Prairie,North Dakota: A Guide to the Northern Prairie State,46661,https://www.gutenberg.org/ebooks/46661.txt.utf-8
The Soul of a Bishop,The soul of a bishop,1269,https://www.gutenberg.org/files/1269/1269-0.txt
The Monastery,The Monastery,6406,https://www.gutenberg.org/files/6406/6406-0.txt
The Abbot,Alexander the Great,22446,https://www.gutenberg.org/files/22446/22446-readme.txt
Indiscretions of Archie,Indiscretions of Archie,3756,https://www.gutenberg.org/files/3756/3756-0.txt
The Metal Monster,The Metal Monster,3479,https://www.gutenberg.org/files/3479/3479-0.txt
The Marriage of William Ashe,The Marriage of William Ashe,14126,https://www.gutenberg.org/ebooks/14126.txt.utf-8
The Ebb-Tide,The Sea-beach at Ebb-tide: A Guide to the Study of the Seaweeds and the Lower Animal Life Found Between Tide-marks,43946,https://www.gutenberg.org/files/43946/43946-0.txt
Savrola,Savrola: A Tale of the Revolution in Laurania,50906,https://www.gutenberg.org/ebooks/50906.txt.utf-8
The Magic of Oz,The Magic and Science of Jewels and Stones,57980,https://www.gutenberg.org/files/57980/57980-0.txt
Life in the Iron Mills,"Life in the Iron-Mills; Or, The Korl Woman",876,https://www.gutenberg.org/files/876/876-0.txt
Z. Marcas,Z. Marcas,1841,https://www.gutenberg.org/files/1841/1841-0.txt
The Tale of Jemima Puddle-Duck,The Tale of Jemima Puddle-Duck,14814,https://www.gutenberg.org/ebooks/14814.txt.utf-8
Green Mansions,Green Mansions: A Romance of the Tropical Forest,942,https://www.gutenberg.org/files/942/942-0.txt
Shadows in Zamboula,Shadows in Zamboula,42196,https://www.gutenberg.org/ebooks/42196.txt.utf-8
Cousin Henry,Our Little Korean Cousin,12048,https://www.gutenberg.org/ebooks/12048.txt.utf-8
Moonfleet,Moonfleet,10743,https://www.gutenberg.org/ebooks/10743.txt.utf-8
Linda Condon,Linda Condon,7171,https://www.gutenberg.org/files/7171/7171-0.txt
Queen of the Black Coast,Queen of the Black Coast,42183,https://www.gutenberg.org/ebooks/42183.txt.utf-8
The Tenant of Wildfell Hall,The Tenant of Wildfell Hall,969,https://www.gutenberg.org/files/969/969-0.txt
Tamburlaine,Tamburlaine the Great — Part 1,1094,https://www.gutenberg.org/ebooks/1094.txt.utf-8
The Adventures of Peregrine Pickle,The Adventures of Peregrine Pickle,4084,https://www.gutenberg.org/files/4084/4084-0.txt
Sartor Resartus,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,1051,https://www.gutenberg.org/ebooks/1051.txt.utf-8
